Retention,MaxLevelPassed,User_id,AB_Cohort,SumRevenue,CountBuy,CountAllStart,CountAllFinish,CountCleanStart,CountCleanFinish,Get_Ads,Get_Chapter,Get_Buy,Get_Faceb,Get_TeamL,Get_TeamT,Spend_BonLives,Spend_Bonus,Spend_Boost,Spend_Lives,Spend_Moves,Spend_TeamC,Paying
0,27,2109,B,0,0,61,27,53,23,0,0,0,0,0,100,0,0,0,0,1980,0,False
1,34,2109,B,0,0,49,7,46,6,0,0,0,0,0,0,0,0,0,0,990,0,False
2,39,2109,B,0,0,31,5,28,4,0,300,0,0,0,0,0,0,0,0,0,0,False
3,39,2109,B,0,0,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,False
4,41,2109,B,0,0,10,2,9,1,0,0,0,0,0,0,0,0,0,0,0,0,False
7,49,2109,B,0,0,42,8,41,8,0,0,0,0,0,0,0,0,0,0,0,0,False
0,39,2110,B,0,0,4,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,False
1,43,2110,B,0,0,11,4,10,3,0,0,0,0,0,0,0,0,0,0,0,0,False
4,43,2110,B,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,False
0,12,2111,B,0,0,24,22,17,16,0,0,0,0,0,0,0,0,0,0,1980,0,False
0,9,2112,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
0,39,2113,B,0,0,16,5,16,5,0,460,0,0,0,0,0,0,0,0,0,0,False
1,43,2113,B,0,0,23,4,21,3,0,0,0,0,0,0,0,0,0,0,0,0,False
2,50,2113,B,0,0,19,7,19,7,0,0,0,0,0,0,0,0,0,0,0,0,False
3,50,2113,B,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,False
4,50,2113,B,0,0,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,False
5,60,2113,B,0,0,40,11,38,9,0,210,0,0,0,0,0,0,0,0,0,0,False
6,66,2113,B,0,0,23,6,23,6,0,0,0,0,0,0,0,0,0,0,0,0,False
7,70,2113,B,0,0,18,4,18,4,0,0,0,0,0,0,0,0,0,0,0,0,False
