Retention;MaxLevelPassed;User_id;AB_Cohort;SumRevenue;CountBuy;CountAllStart;CountAllFinish;CountCleanStart;CountCleanFinish;Get_Ads;Get_Chapter;Get_Buy;Get_Faceb;Get_TeamL;Get_TeamT;Spend_BonLives;Spend_Bonus;Spend_Boost;Spend_Lives;Spend_Moves;Spend_TeamC
6;33;2300;A;0;0;12;2;12;2;0;0;0;0;0;0;0;0;0;0;0;0
7;35;2300;A;0;0;7;2;6;1;0;0;0;0;0;0;0;0;0;0;0;0
0;50;2301;A;0;0;48;10;47;10;0;0;0;0;0;0;0;0;0;0;990;0
1;50;2301;A;0;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0;990;0
2;50;2301;A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;54;2301;A;0;0;10;4;9;3;0;0;0;0;0;0;0;0;0;0;990;0
4;54;2301;A;0;0;6;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0
5;54;2301;A;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
6;55;2301;A;0;0;5;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
7;56;2301;A;0;0;10;5;10;5;0;0;0;0;0;0;0;0;0;0;0;0
0;25;2302;A;0;0;6;3;6;3;0;0;0;0;0;0;0;0;0;0;0;0
1;22;2302;A;0;0;5;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
5;25;2302;A;0;0;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0
7;25;2302;A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;14;2303;A;0;0;19;19;15;15;0;0;0;0;0;0;0;0;0;0;2590;0
1;23;2303;A;0;0;26;9;26;9;0;0;0;0;0;100;0;0;0;0;0;0
2;25;2303;A;0;0;7;2;7;2;0;0;0;0;0;0;0;0;0;0;0;0
4;25;2303;A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;33;2304;A;0;0;6;1;6;1;0;0;0;0;30;0;0;0;0;0;0;0
1;43;2304;A;0;0;38;10;36;9;0;420;0;0;0;0;0;0;0;0;0;0
